               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.030644,           0.0082798,           0.0054211,             0.99829,                   1,               0.995,             0.69908,            0.020663,           0.0044324,           0.0027555,            0.007723,            0.007723,            0.007723
                 117,            0.029121,           0.0090257,            0.004537,             0.99067,                   1,               0.995,             0.66957,            0.025089,           0.0044933,           0.0027901,           0.0077032,           0.0077032,           0.0077032
                 118,              0.0297,           0.0091606,            0.003745,             0.99568,             0.99988,               0.995,             0.68506,            0.024341,           0.0044723,           0.0030837,           0.0076834,           0.0076834,           0.0076834
                 119,            0.030524,           0.0099742,            0.004273,             0.97375,             0.98905,               0.995,             0.73016,            0.021461,           0.0044353,           0.0039584,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02979,           0.0079885,           0.0055856,             0.95322,             0.94028,             0.99475,             0.66816,            0.022293,           0.0044762,           0.0059687,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028446,           0.0086747,           0.0040313,             0.84164,             0.96261,             0.98832,             0.64119,            0.026726,           0.0045004,            0.011479,            0.007624,            0.007624,            0.007624
                 122,            0.029991,           0.0086702,           0.0038833,             0.86042,             0.93897,             0.99377,             0.65217,            0.027669,           0.0045832,            0.013648,           0.0076042,           0.0076042,           0.0076042
                 123,            0.030876,           0.0084828,           0.0042576,             0.91466,             0.93329,              0.9936,             0.66149,            0.024692,           0.0046679,            0.013226,           0.0075844,           0.0075844,           0.0075844
                 124,            0.029991,           0.0090423,           0.0041166,             0.99651,                   1,               0.995,             0.69856,            0.024063,           0.0045437,           0.0029615,           0.0075646,           0.0075646,           0.0075646
                 125,            0.028023,           0.0085078,           0.0039088,             0.99862,                   1,               0.995,             0.70243,            0.023016,            0.004525,           0.0026384,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028811,           0.0081107,           0.0044958,             0.99879,                   1,               0.995,             0.68915,            0.021721,           0.0044304,           0.0025729,            0.007525,            0.007525,            0.007525
                 127,            0.026887,           0.0086915,           0.0048243,             0.99822,                   1,               0.995,             0.73912,            0.022806,           0.0042541,           0.0024805,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028237,           0.0091714,           0.0040683,             0.99859,                   1,               0.995,             0.77205,            0.019756,           0.0041592,           0.0024014,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028229,           0.0085074,           0.0045042,             0.99626,                   1,               0.995,             0.68913,            0.023279,           0.0043087,           0.0025312,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027713,           0.0091185,           0.0037774,             0.95175,             0.99712,               0.995,             0.74827,            0.020731,           0.0042667,           0.0040307,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027883,           0.0078228,           0.0050742,              0.9933,             0.99317,               0.995,             0.71819,            0.020069,           0.0042305,           0.0028302,            0.007426,            0.007426,            0.007426
                 132,            0.026553,           0.0086614,           0.0040521,             0.98525,             0.99736,             0.99477,             0.73779,            0.021804,           0.0042397,           0.0027818,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028596,           0.0090702,           0.0039737,             0.99872,                   1,               0.995,             0.72675,            0.022159,           0.0042889,           0.0024559,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027979,           0.0089841,            0.004179,             0.99803,                   1,               0.995,             0.72927,            0.021598,           0.0043245,           0.0024186,           0.0073666,           0.0073666,           0.0073666
                 135,            0.028507,            0.008733,           0.0036528,             0.99791,                   1,               0.995,             0.72498,            0.021741,           0.0042806,           0.0023983,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027419,           0.0084431,           0.0043653,             0.99822,                   1,               0.995,             0.75218,            0.020414,            0.004164,           0.0024607,            0.007327,            0.007327,            0.007327
                 137,            0.028325,           0.0081214,           0.0038015,             0.99842,                   1,               0.995,             0.73937,            0.021673,           0.0041311,           0.0024543,           0.0073072,           0.0073072,           0.0073072
